x,y,dx,dy
0.007107868,1,0,-0.18
0.018625416,1,0,-0.18
0.030142964,1,0,-0.18
0.041660516,1,0,-0.18
0.053178064,1,0,-0.18
0.064695612,1,0,-0.18
0.07621316,1,0,-0.18
0.087730712,1,0,-0.18
0.09924826,1,0,-0.18
0.110765808,1,0,-0.18
0.122283356,1,0,-0.18
0.133800904,1,0,-0.18
0.145318456,1,0,-0.18
0.156836004,1,0,-0.18
0.168353552,1,0,-0.18
0.1798711,1,0,-0.18
0.191388648,1,0,-0.18
0.2029062,1,0,-0.18
0.214423748,1,0,-0.18
0.225941296,1,0,-0.18
0.237458844,1,0,-0.18
0.248976396,1,0,-0.18
0.260493944,1,0,-0.18
0.272011492,1,0,-0.18
0.28352904,1,0,-0.18
0.295046588,1,0,-0.18
0.30656414,1,0,-0.18
0.318081688,1,0,-0.18
0.329599236,1,0,-0.18
0.341116784,1,0,-0.18
0.352634336,1,0,-0.18
0.364151884,1,0,-0.18
0.375669432,1,0,-0.18
0.38718698,1,0,-0.18
0.398704528,1,0,-0.18
0.41022208,1,0,-0.18
0.421739628,1,0,-0.18
0.433257176,1,0,-0.18
0.444774724,1,0,-0.18
0.456292272,1,0,-0.18
0.467809824,1,0,-0.18
0.479327372,1,0,-0.18
0.49084492,1,0,-0.18
0.502362468,1,0,-0.18
0.51388002,1,0,-0.18
0.525397568,1,0,-0.18
0.536915116,1,0,-0.18
0.548432664,1,0,-0.18
0.559950212,1,0,-0.18
0.571467764,1,0,-0.18
0.582985312,1,0,-0.18
0.59450286,1,0,-0.18
0.606020408,1,0,-0.18
0.617537956,1,0,-0.18
0.629055508,1,0,-0.18
0.640573056,1,0,-0.18
0.652090604,1,0,-0.18
0.663608152,1,0,-0.18
0.675125704,1,0,-0.18
0.686643252,1,0,-0.18
0.6981608,1,0,-0.18
0.709678348,1,0,-0.18
0.721195896,1,0,-0.18
0.732713448,1,0,-0.18
0.744230996,1,0,-0.18
0.755748544,1,0,-0.18
0.767266092,1,0,-0.18
0.778783644,1,0,-0.18
0.790301192,1,0,-0.18
0.80181874,1,0,-0.18
0.813336288,1,0,-0.18
0.824853836,1,0,-0.18
0.836371388,1,0,-0.18
0.847888936,1,0,-0.18
0.859406484,1,0,-0.18
0.870924032,1,0,-0.18
0.88244158,1,0,-0.18
0.893959132,1,0,-0.18
0.90547668,1,0,-0.18
0.916994228,1,0,-0.18
0.928511776,1,0,-0.18
0.940029328,1,0,-0.18
0.951546876,1,0,-0.18
0.963064424,1,0,-0.18
0.974581972,1,0,-0.18
0.98609952,1,0,-0.18
0.997617072,1,0,-0.18
1.00913462,1,0,-0.18
1.020652168,1,0,-0.18
1.032169716,1,0,-0.18
1.043687268,1,0,-0.18
1.055204816,1,0,-0.18
1.066722364,1,0,-0.18
1.078239912,1,0,-0.18
1.08975746,1,0,-0.18
1.101275012,1,0,-0.18
1.11279256,1,0,-0.18
1.124310108,1,0,-0.18
1.135827656,1,0,-0.18
1.147345204,1,0,-0.18
1.158862756,1,0,-0.18
1.170380304,1,0,-0.18
1.181897852,1,0,-0.18
1.1934154,1,0,-0.18
1.204932952,1,0,-0.18
1.2164505,1,0,-0.18
1.227968048,1,0,-0.18
1.239485596,1,0,-0.18
1.251003144,1,0,-0.18
1.262520696,1,0,-0.18
1.274038244,1,0,-0.18
1.285555792,1,0,-0.18
1.29707334,1,0,-0.18
1.308590892,1,0,-0.18
1.32010844,1,0,-0.18
1.331625988,1,0,-0.18
1.343143536,1,0,-0.18
1.354661084,1,0,-0.18
1.366178636,1,0,-0.18
1.377696184,1,0,-0.18
1.389213732,1,0,-0.18
1.40073128,1,0,-0.18
1.412248828,1,0,-0.18
1.42376638,1,0,-0.18
1.435283928,1,0,-0.18
1.446801476,1,0,-0.18
1.458319024,1,0,-0.18
1.469836576,1,0,-0.18
1.481354124,1,0,-0.18
1.492871672,1,0,-0.18
1.50438922,1,0,-0.18
1.515906768,1,0,-0.18
1.52742432,1,0,-0.18
